"chemical_input_pkey","study_year","treatment_fkey","treatment","treatment_long","crop","blocks","chemical_purpose","application_timing","application_date","application_mode","trade_name","active_ingredient","active_ingredient_concentration_value","active_ingredient_concentration_unit","application_rate_value_active_ingredient","application_rate_unit_active_ingredient","reference_chemical","application_rate_of_reference_chemical_value","application_rate_of_reference_chemical_unit","tractor","implement","original_entry","comment"
1,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",130,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","109 lbs K/acre"
2,"2008",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",130,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","109 lbs K/acre"
3,"2008",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",130,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","109 lbs K/acre"
4,"2008",4,"P","prairie","prairie","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",130,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","109 lbs K/acre"
5,"2008",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",130,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","109 lbs K/acre"
6,"2008",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,NA,NA,"potassium oxide (K2O)",130,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","109 lbs K/acre"
7,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",70,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","30 lbs P/acre"
8,"2008",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",70,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","30 lbs P/acre"
9,"2008",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",70,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","30 lbs P/acre"
10,"2008",4,"P","prairie","prairie","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",70,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","30 lbs P/acre"
