"harvest_activity_pkey","study_year","treatment_fkey","treatment","treatment_long","blocks","crop","activity_date","activity","cutting_height_inches","tractor","implement","swath_value","swath_units","original_entry","comment"
1,"2008",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2008-07-14,"mow","5",NA,"bat-wing rotary mower",15,"feet","Mowed prairie and switchgrass plots with 15' wide 'bat-wing' rotary mower to 5"" ht. to suppress weeds",NA
2,"2008",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2008-07-14,"mow","5",NA,"bat-wing rotary mower",15,"feet","Mowed prairie and switchgrass plots with 15' wide 'bat-wing' rotary mower to 5"" ht. to suppress weeds",NA
3,"2008",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2008-08-07,"mow","5",NA,"bat-wing rotary mower",15,"feet","Mowed prairie and switchgrass plots with 15' wide 'bat-wing' rotary mower to 5"" ht. to suppress weeds",NA
4,"2008",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2008-08-07,"mow","5",NA,"bat-wing rotary mower",15,"feet","Mowed prairie and switchgrass plots with 15' wide 'bat-wing' rotary mower to 5"" ht. to suppress weeds",NA
5,"2008",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2008-10-03,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants) - four 25 ft2 areas from each plot and threshed 10-8-08.  Weighed grain and stover for harvest index, Hand harvest soybean grain yield was 47 bu/acre; Dry HI = 55.3%; Dry stover yield (stems + pods) was 1,969 lb/acre",NA
6,"2008",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2008-10-08,"thresh",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants) - four 25 ft2 areas from each plot and threshed 10-8-08.  Weighed grain and stover for harvest index, Hand harvest soybean grain yield was 47 bu/acre; Dry HI = 55.3%; Dry stover yield (stems + pods) was 1,969 lb/acre",NA
7,"2008",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_whole_plant",2008-10-16,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest corn areas four 25 ft2 areas from each plot.  Weighed ears and shell ratio and harvest index: Hand harvest grain yields in bu/acre: C2=192, CC=196, CCW=196; Dry HI = 59.2%; Dry stover yield was 3.17 tons/acre",NA
8,"2008",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_whole_plant",2008-10-16,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest corn areas four 25 ft2 areas from each plot.  Weighed ears and shell ratio and harvest index: Hand harvest grain yields in bu/acre: C2=192, CC=196, CCW=196; Dry HI = 59.2%; Dry stover yield was 3.17 tons/acre",NA
9,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_whole_plant",2008-10-16,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest corn areas four 25 ft2 areas from each plot.  Weighed ears and shell ratio and harvest index: Hand harvest grain yields in bu/acre: C2=192, CC=196, CCW=196; Dry HI = 59.2%; Dry stover yield was 3.17 tons/acre",NA
10,"2008",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2008-10-21,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest all corn and soybean plots with 5-row 4420 combine, no stover removal - corn yield was 188 bu/a (adjusted to 15.5% moisture)","Attempted to harvest 10/10 with large split-stream combine- hydraulic hose broke. Attempted to harvest 10/13 with large split-stream combine- wagon hitch broke."
