"planting_activity_pkey","study_year","treatment_fkey","treatment","treatment_long","blocks","crop","planting_date","seed_company","seed_hybrid","maturity_value","maturity_unit","trait_list","seeding_rate_value","seeding_rate_unit","planting_depth_inch","emergence_date","tractor","implement","original_entry","comment"
1,"2009",1,"C2","corn_soy_rotation","1","corn",2009-05-07,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33400,"seeds/acre",NA,2009-05-19,NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
2,"2009",2,"CC","continuous_corn_stover_removed","1","corn",2009-05-07,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33400,"seeds/acre",NA,2009-05-19,NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
3,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","1","corn",2009-05-07,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33400,"seeds/acre",NA,2009-05-19,NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
4,"2009",1,"C2","corn_soy_rotation","2, 3, 4","corn",2009-05-08,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33700,"seeds/acre",NA,2009-05-19,NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
5,"2009",2,"CC","continuous_corn_stover_removed","2, 3, 4","corn",2009-05-08,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33700,"seeds/acre",NA,2009-05-19,NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
6,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","2, 3, 4","corn",2009-05-08,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33700,"seeds/acre",NA,2009-05-19,NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
7,"2009",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2009-05-08,"Pioneer","92M53",2.5,"Relative Maturity (RM)","Peking SCN resistance; Roundup Ready; Phytophthora root rot resistant",161300,"seeds/acre",NA,2009-05-21,NA,NA,"Plant soybeans - Pioneer 92M53 @ 161,300 sds/a on soybean plots (no-till)  Soybeans emerged 5-21-09",NA
8,"2008",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2008-05-15,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",32200,"seeds/acre",NA,NA,NA,NA,"Plant corn - Agrigold 6325 VT3 (104-d) @ 32,200 sds/a on all corn plots in COBS area and in extra area on east side.  65 lb./a N (28% UAN injected at 3"" depth; 4"" to side of each row).",NA
9,"2008",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2008-05-15,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",32200,"seeds/acre",NA,NA,NA,NA,"Plant corn - Agrigold 6325 VT3 (104-d) @ 32,200 sds/a on all corn plots in COBS area and in extra area on east side.  65 lb./a N (28% UAN injected at 3"" depth; 4"" to side of each row).",NA
10,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2008-05-15,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",32200,"seeds/acre",NA,NA,NA,NA,"Plant corn - Agrigold 6325 VT3 (104-d) @ 32,200 sds/a on all corn plots in COBS area and in extra area on east side.  65 lb./a N (28% UAN injected at 3"" depth; 4"" to side of each row).",NA
